Percentile,PACE,NET,OE,eFG%,TOrate,OREB%,FTrate,3PTrate,DE,Opp eFG%,Opp TOrate,Opp OREB%,Opp FTrate,Opp 3PTrate
0.16,66.8,-0.1,0.98,0.48,0.204,0.247,0.291,0.326,1.099,0.539,0.163,0.315,0.393,0.414
0.15,66.6,-0.11,0.978,0.479,0.205,0.245,0.29,0.322,1.101,0.541,0.163,0.317,0.398,0.416
0.14,66.6,-0.11,0.974,0.479,0.206,0.244,0.288,0.321,1.103,0.542,0.162,0.319,0.4,0.416
0.13,66.5,-0.12,0.97,0.478,0.207,0.24,0.284,0.32,1.103,0.543,0.161,0.319,0.403,0.419
0.12,66.5,-0.12,0.969,0.477,0.207,0.238,0.283,0.316,1.107,0.544,0.16,0.321,0.408,0.424
0.11,66.4,-0.12,0.968,0.475,0.208,0.236,0.281,0.314,1.108,0.545,0.158,0.324,0.409,0.427
0.1,66.3,-0.13,0.964,0.474,0.209,0.234,0.28,0.306,1.11,0.547,0.157,0.325,0.412,0.428
0.09,66.2,-0.13,0.963,0.473,0.209,0.231,0.278,0.301,1.112,0.549,0.156,0.327,0.415,0.431
0.08,66,-0.13,0.96,0.469,0.209,0.227,0.276,0.297,1.118,0.55,0.155,0.331,0.417,0.432
0.07,65.7,-0.14,0.954,0.466,0.212,0.225,0.273,0.293,1.12,0.553,0.154,0.332,0.42,0.435
0.06,65.4,-0.15,0.951,0.464,0.215,0.224,0.27,0.287,1.122,0.554,0.151,0.335,0.425,0.437
0.05,65.2,-0.15,0.944,0.46,0.217,0.221,0.263,0.279,1.13,0.56,0.149,0.337,0.431,0.439
0.04,65,-0.16,0.929,0.456,0.218,0.213,0.258,0.275,1.139,0.563,0.148,0.34,0.441,0.445
0.03,64.7,-0.18,0.925,0.448,0.22,0.207,0.249,0.272,1.149,0.566,0.146,0.346,0.449,0.45
0.02,64.1,-0.19,0.908,0.443,0.227,0.198,0.245,0.258,1.156,0.568,0.145,0.35,0.459,0.457
0.01,63.6,-0.23,0.892,0.434,0.231,0.192,0.243,0.253,1.175,0.577,0.142,0.354,0.467,0.467
