,TEAM,TEAM A,TEAM B,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
28,GEORGETOWN,MCCLUNG.MAC,MOSELY.JAGAN,155:23,286.32,74.5806,0.96,0.0682,0.75,1.1002,0.84,1.032,0.56,0.5,0.42,0.3234,0.15,0.1921,0.31,0.3427,0.93,0.4383,0.99,0.526,0.26,0.3983,0.26,0.1886,0.59,0.2,0.99,0.3117,0.65
29,GEORGETOWN,JOHNSON.KALEB,MALINOWSKI.GREG,152:15,265.4,69.8842,0.58,0.0465,0.71,1.1492,0.96,1.1027,0.14,0.5598,0.94,0.4231,0.8,0.162,0.89,0.2992,0.62,0.2564,0.03,0.4913,0.77,0.3624,0.63,0.1581,0.11,0.3056,0.27,0.3843,0.19
30,GEORGETOWN,BLAIR.JAHVON,MALINOWSKI.GREG,147:10,275.96,74.8027,0.96,0.1441,0.96,1.2031,0.99,1.059,0.34,0.5909,0.99,0.4892,0.98,0.1667,0.84,0.2992,0.62,0.3636,0.74,0.4851,0.83,0.4298,0.09,0.1351,0.01,0.2416,0.93,0.366,0.3
31,GEORGETOWN,MALINOWSKI.GREG,PICKETT.JAMORKO,145:05,289.8,76.8497,0.99,0.103,0.86,1.0904,0.79,0.9874,0.89,0.5083,0.5,0.4542,0.92,0.1691,0.79,0.2908,0.53,0.3958,0.89,0.4464,0.99,0.317,0.94,0.1646,0.18,0.2781,0.61,0.4196,0.07
32,GEORGETOWN,MOSELY.JAGAN,MOURNING.TREY,132:48,235.6,71.9455,0.84,0.036,0.67,0.9932,0.22,0.9572,0.95,0.4921,0.31,0.3842,0.6,0.1952,0.25,0.2589,0.24,0.3421,0.58,0.4902,0.78,0.4706,0.01,0.1756,0.34,0.2143,0.99,0.2255,0.99
33,GEORGETOWN,BLAIR.JAHVON,JOHNSON.KALEB,131:35,236.0,73.3008,0.92,0.0303,0.67,1.1568,0.97,1.1265,0.05,0.5625,0.95,0.445,0.89,0.161,0.89,0.2823,0.44,0.375,0.81,0.514,0.43,0.3767,0.45,0.1229,0.01,0.2519,0.88,0.3395,0.43
34,GEORGETOWN,JOHNSON.KALEB,MCCLUNG.MAC,128:44,239.36,75.525,0.98,-0.0251,0.39,1.0528,0.61,1.0779,0.24,0.4354,0.01,0.3301,0.18,0.1796,0.58,0.3857,0.99,0.4498,0.99,0.5428,0.13,0.4171,0.13,0.1803,0.43,0.1961,0.99,0.4011,0.13
35,GEORGETOWN,JOHNSON.KALEB,PICKETT.JAMORKO,123:48,220.92,75.1675,0.97,0.0457,0.71,1.0773,0.72,1.0317,0.56,0.5164,0.6,0.4262,0.81,0.1992,0.21,0.3158,0.76,0.3716,0.79,0.4975,0.67,0.425,0.11,0.1574,0.1,0.225,0.98,0.345,0.4
36,GEORGETOWN,BLAIR.JAHVON,PICKETT.JAMORKO,121:55,224.76,73.4612,0.93,0.0626,0.75,1.228,0.99,1.1653,0.01,0.6054,0.99,0.4757,0.97,0.1646,0.87,0.2991,0.62,0.427,0.97,0.573,0.01,0.4216,0.12,0.1548,0.07,0.2719,0.71,0.3892,0.17
37,GEORGETOWN,MALINOWSKI.GREG,MCCLUNG.MAC,119:10,230.44,74.8571,0.96,0.009,0.54,1.0371,0.5,1.0281,0.59,0.5082,0.5,0.4231,0.8,0.217,0.05,0.3302,0.87,0.4176,0.96,0.4916,0.77,0.3911,0.33,0.1628,0.14,0.2273,0.96,0.3296,0.52
38,GEORGETOWN,BLAIR.JAHVON,MOURNING.TREY,114:31,210.8,72.9825,0.91,0.0607,0.75,1.167,0.98,1.1062,0.12,0.5543,0.94,0.4743,0.96,0.1518,0.95,0.2621,0.28,0.4,0.9,0.5426,0.13,0.4545,0.02,0.1901,0.63,0.3148,0.16,0.3125,0.64
39,GEORGETOWN,LEBLANC.JOSH,MOURNING.TREY,114:10,201.08,72.2386,0.86,0.1468,0.96,1.0344,0.47,0.8876,0.99,0.5226,0.68,0.4,0.71,0.2188,0.03,0.2447,0.14,0.3677,0.77,0.448,0.98,0.4855,0.01,0.2088,0.88,0.2432,0.93,0.2717,0.89
40,GEORGETOWN,MALINOWSKI.GREG,MOURNING.TREY,110:14,202.72,73.9855,0.95,0.0027,0.54,1.0507,0.58,1.048,0.43,0.4969,0.37,0.4233,0.8,0.1825,0.53,0.2688,0.32,0.3865,0.86,0.5057,0.54,0.4885,0.01,0.1567,0.09,0.2407,0.94,0.3161,0.62
41,GEORGETOWN,MOSELY.JAGAN,PICKETT.JAMORKO,109:59,188.4,74.444,0.95,0.1296,0.92,1.0775,0.72,0.9479,0.97,0.5267,0.71,0.3867,0.6,0.2017,0.18,0.2826,0.44,0.4,0.9,0.4725,0.91,0.4066,0.2,0.1611,0.13,0.2054,0.99,0.2912,0.81
